KEGG_ko,ko_symbol,ko_name
K01963,accD,acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
K01354,ptrB,oligopeptidase B [EC:3.4.21.83]
K01937,"pyrG, CTPS",CTP synthase [EC:6.3.4.2]
K01689,"ENO1_2_3, eno",enolase 1/2/3 [EC:4.2.1.11]
K10026,queE,7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]
K01737,"queD, ptpS, PTS",6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
K00948,"PRPS, prsA",ribose-phosphate pyrophosphokinase [EC:2.7.6.1]
K01918,panC,pantoate--beta-alanine ligase [EC:6.3.2.1]
K00606,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K11940,hspQ,heat shock protein HspQ
K06147,ABCB-BAC,"ATP-binding cassette, subfamily B, bacterial"
K18889,"mdlA, smdA","ATP-binding cassette, subfamily B, multidrug efflux pump"
K18104,"abcA, bmrA","ATP-binding cassette, subfamily B, bacterial AbcA/BmrA [EC:7.6.2.2]"
K18890,"mdlB, smdB","ATP-binding cassette, subfamily B, multidrug efflux pump"
K02523,ispB,octaprenyl-diphosphate synthase [EC:2.5.1.90]
K10763,hda,DnaA-homolog protein
K12981,"waaZ, rfaZ",KDO transferase III [EC:2.4.99.-]
K00537,arsC,arsenate reductase (glutaredoxin) [EC:1.20.4.1]
K01439,dapE,succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01494,dcd,dCTP deaminase [EC:3.5.4.13]
K00833,bioA,adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K01012,bioB,biotin synthase [EC:2.8.1.6]
K01935,bioD,dethiobiotin synthetase [EC:6.3.3.3]
K03657,"uvrD, pcrA",ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
K03284,corA,magnesium transporter
K02844,"waaG, rfaG","UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
K02527,"kdtA, waaA",3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K12984,"waaE, kdtX","(heptosyl)LPS beta-1,4-glucosyltransferase [EC:2.4.1.-]"
K00954,"E2.7.7.3A, coaD, kdtB",pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K03564,"BCP, PRXQ, DOT5",thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
K02902,"RP-L28, MRPL28, rpmB",large subunit ribosomal protein L28
K02913,"RP-L33, MRPL33, rpmG",large subunit ribosomal protein L33
K02899,"RP-L27, MRPL27, rpmA",large subunit ribosomal protein L27
K02888,"RP-L21, MRPL21, rplU",large subunit ribosomal protein L21
K03704,cspA,cold shock protein
K01243,"mtnN, mtn, pfs",adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K03786,"aroQ, qutE",3-dehydroquinate dehydratase II [EC:4.2.1.10]
K02160,"accB, bccP",acetyl-CoA carboxylase biotin carboxyl carrier protein
K01961,accC,"acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
K09893,rraB,regulator of ribonuclease activity B
K09816,znuB,zinc transport system permease protein
K09817,znuC,zinc transport system ATP-binding protein [EC:7.2.2.20]
K09815,znuA,zinc transport system substrate-binding protein
K19304,mepM,murein DD-endopeptidase [EC:3.4.24.-]
K02560,"lpxM, msbB",lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]
K04087,hflC,modulator of FtsH protease HflC
K04088,hflK,modulator of FtsH protease HflK
K03666,hfq,host factor-I protein
K00791,"miaA, TRIT1",tRNA dimethylallyltransferase [EC:2.5.1.75]
K03572,mutL,DNA mismatch repair protein MutL
K01448,amiABC,N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K06925,tsaE,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
K11102,"gltP, gltT",proton glutamate symport protein
K00525,"E1.17.4.1A, nrdA, nrdE",ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00526,"E1.17.4.1B, nrdB, nrdF",ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K02469,gyrA,DNA gyrase subunit A [EC:5.6.2.2]
K06890,K06890,uncharacterized protein
K01776,murI,glutamate racemase [EC:5.1.1.3]
K11927,rhlE,ATP-dependent RNA helicase RhlE [EC:5.6.2.7]
K01495,"GCH1, folE",GTP cyclohydrolase IA [EC:3.5.4.16]
K03186,"ubiX, bsdB, PAD1",flavin prenyltransferase [EC:2.5.1.129]
K01695,trpA,tryptophan synthase alpha chain [EC:4.2.1.20]
K01696,trpB,tryptophan synthase beta chain [EC:4.2.1.20]
K13498,trpCF,indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K00766,trpD,anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K13497,trpGD,anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K01658,trpG,anthranilate synthase component II [EC:4.1.3.27]
K01664,pabA,para-aminobenzoate synthetase component II [EC:2.6.1.85]
K01657,trpE,anthranilate synthase component I [EC:4.1.3.27]
K01665,pabB,para-aminobenzoate synthetase component I [EC:2.6.1.85]
K13950,pabAB,para-aminobenzoate synthetase [EC:2.6.1.85]
K03671,"TXN, trxA",thioredoxin
K03628,rho,transcription termination factor Rho
K02851,"wecA, tagO, rfe",UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]
K03581,recD,exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
K03582,recB,exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
K03583,recC,exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]
K07806,"arnB, pmrH",UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]
K10012,"arnC, pmrF",undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]
K01784,"galE, GALE",UDP-glucose 4-epimerase [EC:5.1.3.2]
K10011,"arnA, pmrI",UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]
K13014,arnD,undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]
K07264,"arnT, pmrK",4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]
K19302,bcrC,undecaprenyl-diphosphatase [EC:3.6.1.27]
K01465,"URA4, pyrC",dihydroorotase [EC:3.5.2.3]
K01869,"LARS, leuS",leucyl-tRNA synthetase [EC:6.1.1.4]
K03643,"lptE, rlpB",LPS-assembly lipoprotein
K02340,holA,DNA polymerase III subunit delta [EC:2.7.7.7]
K00969,nadD,nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K01488,"add, ADA",adenosine deaminase [EC:3.5.4.4]
K01669,"phr, PHR1",deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K04773,sppA,protease IV [EC:3.4.21.-]
K02257,"COX10, ctaB, cyoE",heme o synthase [EC:2.5.1.141]
K02300,cyoD,cytochrome o ubiquinol oxidase subunit IV
K02299,cyoC,cytochrome o ubiquinol oxidase subunit III
K02298,cyoB,cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
K02297,cyoA,cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
K00793,"ribE, RIB5",riboflavin synthase [EC:2.5.1.9]
K03624,greA,transcription elongation factor GreA
K03498,"trkH, trkG, ktrB, ktrD",trk/ktr system potassium uptake protein
K02622,parE,topoisomerase IV subunit B [EC:5.6.2.2]
K01586,lysA,diaminopimelate decarboxylase [EC:4.1.1.20]
K05805,creA,CreA protein
K15634,gpmB,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]"
K01735,aroB,3-dehydroquinate synthase [EC:4.2.3.4]
K00891,"aroK, aroL",shikimate kinase [EC:2.7.1.71]
K01462,"PDF, def",peptide deformylase [EC:3.5.1.88]
K00604,"MTFMT, fmt",methionyl-tRNA formyltransferase [EC:2.1.2.9]
K03500,"rsmB, sun",16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
K03499,"trkA, ktrA, ktrC",trk/ktr system potassium uptake protein
K00014,aroE,shikimate dehydrogenase [EC:1.1.1.25]
K03747,smg,Smg protein
K03980,"murJ, mviN",putative peptidoglycan lipid II flippase
K03282,mscL,large conductance mechanosensitive channel
K07566,"tsaC, rimN, SUA5, YRDC",L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K07552,"bcr, tcaB","MFS transporter, DHA1 family, multidrug resistance protein"
K08154,emrD,"MFS transporter, DHA1 family, 2-module integral membrane pump EmrD"
K00528,fpr,ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
K01803,"TPI, tpiA",triosephosphate isomerase (TIM) [EC:5.3.1.1]
K04754,"mlaA, vacJ",phospholipid-binding lipoprotein MlaA
K03784,deoD,purine-nucleoside phosphorylase [EC:2.4.2.1]
K07186,smp,membrane protein
K03424,tatD,TatD DNase family protein [EC:3.1.21.-]
K02341,holB,DNA polymerase III subunit delta' [EC:2.7.7.7]
K00943,"tmk, DTYMK",dTMP kinase [EC:2.7.4.9]
K07082,mltG,peptidoglycan lytic transglycosylase G [EC:4.2.2.29]
K02619,pabC,4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
K02911,"RP-L32, MRPL32, rpmF",large subunit ribosomal protein L32
K03621,plsX,phosphate acyltransferase [EC:2.3.1.274]
K00648,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K00645,"fabD, MCAT, MCT1",[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K00059,"fabG, OAR1",3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K02078,"acpP, acpM",acyl carrier protein
K04761,oxyR,"LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator"
K07390,"grxD, GLRX5",monothiol glutaredoxin
K03683,rnt,ribonuclease T [EC:3.1.13.-]
K06075,slyA,"MarR family transcriptional regulator, transcriptional regulator for hemolysin"
K11720,lptG,lipopolysaccharide export system permease protein
K07091,lptF,lipopolysaccharide export system permease protein
K01255,"CARP, pepA",leucyl aminopeptidase [EC:3.4.11.1]
K02339,holC,DNA polymerase III subunit chi [EC:2.7.7.7]
K01873,"VARS, valS",valyl-tRNA synthetase [EC:6.1.1.9]
K01939,"purA, ADSS",adenylosuccinate synthase [EC:6.3.4.4]
K12573,"rnr, vacB",ribonuclease R [EC:3.1.13.1]
K03218,rlmB,23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]
K01414,prlC,oligopeptidase A [EC:3.4.24.70]
K15984,rsmJ,16S rRNA (guanine1516-N2)-methyltransferase [EC:2.1.1.242]
K03644,"lipA, LIAS, LIP1, LIP5",lipoyl synthase [EC:2.8.1.8]
K05794,terC,tellurite resistance protein TerC
K07258,"dacC, dacA, dacD",serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]
K09158,K09158,uncharacterized protein
K03801,lipB,lipoyl(octanoyl) transferase [EC:2.3.1.181]
K03271,"gmhA, lpcA",D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K12961,diaA,DnaA initiator-associating protein
K00925,ackA,acetate kinase [EC:2.7.2.1]
K13788,pta,phosphate acetyltransferase [EC:2.3.1.8]
K03046,rpoC,DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03043,rpoB,DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K02935,"RP-L7, MRPL12, rplL",large subunit ribosomal protein L7/L12
K02864,"RP-L10, MRPL10, rplJ",large subunit ribosomal protein L10
K02863,"RP-L1, MRPL1, rplA",large subunit ribosomal protein L1
K02867,"RP-L11, MRPL11, rplK",large subunit ribosomal protein L11
K02601,nusG,transcription termination/antitermination protein NusG
K03073,secE,preprotein translocase subunit SecE
K02358,"tuf, TUFM",elongation factor Tu
K00867,coaA,type I pantothenate kinase [EC:2.7.1.33]
K05590,srmB,ATP-dependent RNA helicase SrmB [EC:5.6.2.7]
K00783,rlmH,23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]
K05515,mrdA,penicillin-binding protein 2 [EC:3.4.16.4]
K05837,"rodA, mrdB",peptidoglycan glycosyltransferase [EC:2.4.99.28]
K03634,lolA,outer membrane lipoprotein carrier protein
K01881,"PARS, proS",prolyl-tRNA synthetase [EC:6.1.1.15]
K03979,"obgE, cgtA, MTG2",GTPase [EC:3.6.5.-]
K00325,pntB,proton-translocating NAD(P)+ transhydrogenase subunit beta [EC:7.1.1.1]
K00324,pntA,proton-translocating NAD(P)+ transhydrogenase subunit alpha [EC:7.1.1.1]
K00568,ubiG,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]
K02793,manXa,mannose PTS system EIIA component [EC:2.7.1.191]
K02794,manX,mannose PTS system EIIAB component [EC:2.7.1.191]
K02746,agaW,N-acetylgalactosamine PTS system EIIC component
K02795,manY,mannose PTS system EIIC component
K02796,manZ,mannose PTS system EIID component
K03694,clpA,ATP-dependent Clp protease ATP-binding subunit ClpA
K01624,"FBA, fbaA","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
K00927,"PGK, pgk",phosphoglycerate kinase [EC:2.7.2.3]
K03978,engB,GTP-binding protein
K07122,mlaB,phospholipid transport system transporter-binding protein
K07323,mlaC,phospholipid transport system substrate-binding protein
K02067,"mlaD, linM",phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K02066,"mlaE, linK",phospholipid/cholesterol/gamma-HCH transport system permease protein
K02065,"mlaF, linL, mkl",phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K03555,mutS,DNA mismatch repair protein MutS
K04077,"groEL, HSPD1, HSP60, CPN60",chaperonin GroEL [EC:5.6.1.7]
K04078,"groES, HSPE1",chaperonin GroES
K07113,fxsA,UPF0716 protein FxsA
K15724,erpA,iron-sulfur cluster insertion protein
K01633,folB,"7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]"
K08591,plsY,acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]
K01409,"OSGEP, KAE1, QRI7",N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]
K02970,"RP-S21, MRPS21, rpsU",small subunit ribosomal protein S21
K02316,dnaG,DNA primase [EC:2.7.7.101]
K03086,rpoD,RNA polymerase primary sigma factor
K11209,"yghU, yfcG",GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]
K07042,"ybeY, yqfG",probable rRNA maturation factor
K02221,yggT,YggT family protein
K06997,"yggS, PROSC",PLP dependent protein
K03820,lnt,apolipoprotein N-acyltransferase [EC:2.3.1.269]
K06189,"corC, tlyC",hemolysin (HlyC) family protein
K00215,dapB,4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K03527,"ispH, lytB",4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
K03101,lspA,signal peptidase II [EC:3.4.23.36]
K01870,"IARS, ileS",isoleucyl-tRNA synthetase [EC:6.1.1.5]
K11753,ribF,riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
K09908,K09908,uncharacterized protein
K04771,"degP, htrA",serine protease Do [EC:3.4.21.107]
K04772,"degQ, hhoA",serine protease DegQ [EC:3.4.21.-]
K08070,E1.3.1.74,2-alkenal reductase [EC:1.3.1.74]
K00790,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]
K03469,"rnhA, RNASEH1",ribonuclease HI [EC:3.1.26.4]
K02342,dnaQ,DNA polymerase III subunit epsilon [EC:2.7.7.7]
K14159,rnhA-dnaQ,ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7]
K19000,rof,Rho-binding antiterminator
K04075,"tilS, mesJ",tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
K01843,kamA,"lysine 2,3-aminomutase [EC:5.4.3.2]"
K19810,epmB,"L-lysine 2,3-aminomutase [EC:5.4.3.-]"
K02356,efp,elongation factor P
K06889,K06889,uncharacterized protein
K03110,ftsY,fused signal recognition particle receptor
K03089,rpoH,RNA polymerase sigma-32 factor
K01921,ddl,D-alanine-D-alanine ligase [EC:6.3.2.4]
K05801,djlA,DnaJ like chaperone protein
K04744,"lptD, imp, ostA",LPS-assembly protein
K03771,surA,peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
K02528,ksgA,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K06195,apaG,ApaG protein
K01525,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
K00287,"DHFR, folA",dihydrofolate reductase [EC:1.5.1.3]
K18590,"dfrA12, dhfr",dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]
K01955,"carB, CPA2",carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
K01956,"carA, CPA1",carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
K03439,"trmB, METTL1, TRM8",tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
K08306,mltC,peptidoglycan lytic transglycosylase C [EC:4.2.2.29]
K03575,mutY,A/G-specific adenine glycosylase [EC:3.2.2.31]
K00077,"panE, apbA",2-dehydropantoate 2-reductase [EC:1.1.1.169]
K06861,lptB,lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]
K09774,lptA,lipopolysaccharide export system protein LptA
K11719,lptC,lipopolysaccharide export system protein LptC
K02806,ptsN,nitrogen PTS system EIIA component [EC:2.7.1.-]
K06958,rapZ,RNase adapter protein RapZ
K00760,"hprT, hpt, HPRT1",hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]
K00970,pcnB,poly(A) polymerase [EC:2.7.7.19]
K00950,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K03286,TC.OOP,"OmpA-OmpF porin, OOP family"
K05834,rhtB,homoserine/homoserine lactone efflux protein
K03111,ssb,single-strand DNA-binding protein
K03701,uvrA,excinuclease ABC subunit A
K05539,dusA,tRNA-dihydrouridine synthase A [EC:1.-.-.-]
K02517,"lpxL, htrB",Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
K12974,lpxP,KDO2-lipid IV(A) palmitoleoyltransferase [EC:2.3.1.242]
K03695,clpB,ATP-dependent Clp protease ATP-binding subunit ClpB
K05807,bamD,outer membrane protein assembly factor BamD
K06180,rluD,23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]
K02346,dinB,DNA polymerase IV [EC:2.7.7.7]
K00674,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]"
K00850,"pfkA, PFK",6-phosphofructokinase 1 [EC:2.7.1.11]
K15256,cmoA,tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]
K15257,cmoB,tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]
K01916,nadE,NAD+ synthase [EC:6.3.1.5]
K05365,mrcB,penicillin-binding protein 1B [EC:2.4.99.28 3.4.16.4]
K01919,gshA,glutamate--cysteine ligase [EC:6.3.2.2]
K03563,csrA,carbon storage regulator
K01872,"AARS, alaS",alanyl-tRNA synthetase [EC:6.1.1.7]
K03745,slyX,SlyX protein
K01879,glyS,glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
K01878,glyQ,glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
K03184,ubiF,3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K03797,"E3.4.21.102, prc, ctpA",carboxyl-terminal processing protease [EC:3.4.21.102]
K03641,tolB,TolB protein
K03640,pal,peptidoglycan-associated lipoprotein
K01775,alr,alanine racemase [EC:5.1.1.1]
K00254,"DHODH, pyrD",dihydroorotate dehydrogenase [EC:1.3.5.2]
K15738,uup,ABC transport system ATP-binding/permease protein
K02858,"ribB, RIB3","3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"
K14652,ribBA,"3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"
K09691,"wzt, rfbB",homopolymeric O-antigen transport system ATP-binding protein [EC:7.5.2.14]
K09690,"wzm, rfbA",homopolymeric O-antigen transport system permease protein
K03272,"gmhC, hldE, waaE, rfaE",D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
K21344,rfaE1,D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167]
K07447,ruvX,putative pre-16S rRNA nuclease [EC:3.1.-.-]
K00998,pssA,CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K01885,"EARS, gltX",glutamyl-tRNA synthetase [EC:6.1.1.17]
K01876,"DARS2, aspS",aspartyl-tRNA synthetase [EC:6.1.1.12]
K00979,kdsB,3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K09791,K09791,uncharacterized protein
K00134,"GAPDH, gapA",glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
K09897,K09897,uncharacterized protein
K03608,minE,cell division topological specificity factor
K03609,minD,septum site-determining protein MinD
K03610,minC,septum site-determining protein MinC
K01893,"NARS, asnS",asparaginyl-tRNA synthetase [EC:6.1.1.22]
K06204,dksA,RNA polymerase-binding transcription factor
K01491,folD,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K01883,"CARS, cysS",cysteinyl-tRNA synthetase [EC:6.1.1.16]
K02946,"RP-S10, MRPS10, rpsJ",small subunit ribosomal protein S10
K02906,"RP-L3, MRPL3, rplC",large subunit ribosomal protein L3
K02926,"RP-L4, MRPL4, rplD",large subunit ribosomal protein L4
K02892,"RP-L23, MRPL23, rplW",large subunit ribosomal protein L23
K02886,"RP-L2, MRPL2, RML2, rplB",large subunit ribosomal protein L2
K02965,"RP-S19, RSM19, rpsS",small subunit ribosomal protein S19
K02890,"RP-L22, MRPL22, rplV",large subunit ribosomal protein L22
K02982,"RP-S3, rpsC",small subunit ribosomal protein S3
