enzyme	genome_name	gene_caller_id	contig	modules_with_enzyme	enzyme_definition
K00012	contigs_clean	564	c_000000000013	M00014,M00129	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00963	contigs_clean	565	c_000000000013	M00129,M00854,M00549	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]
K01835	contigs_clean	0	c_000000000001	M00855,M00549	phosphoglucomutase [EC:5.4.2.2]
K00820	contigs_clean	710	c_000000000016	M00892,M00909	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]
K03431	contigs_clean	850	c_000000000022	M00909	phosphoglucosamine mutase [EC:5.4.2.10]
K04042	contigs_clean	709	c_000000000016	M00909	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
K10011	contigs_clean	180	c_000000000005	M00761	UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]
K07806	contigs_clean	178	c_000000000005	M00761	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87]
K10012	contigs_clean	179	c_000000000005	M00761	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]
K13014	contigs_clean	182	c_000000000005	M00761	undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.1.-]
K00600	contigs_clean	810	c_000000000020	M00532,M00346,M00140,M00141	glycine hydroxymethyltransferase [EC:2.1.2.1]
K01092	contigs_clean	824	c_000000000020	M00131	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
K01961	contigs_clean	131	c_000000000004	M00376,M00082,M00613	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
K01962	contigs_clean	738	c_000000000017	M00376,M00082,M00613	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
K01963	contigs_clean	83	c_000000000003	M00376,M00082,M00613	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
K02160	contigs_clean	130	c_000000000004	M00376,M00082,M00613	acetyl-CoA carboxylase biotin carboxyl carrier protein
K01491	contigs_clean	466	c_000000000011	M00377,M00140,M00618	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]
K13788	contigs_clean	274	c_000000000006	M00579,M00617,M00618	phosphate acetyltransferase [EC:2.3.1.8]
K00925	contigs_clean	273	c_000000000006	M00579,M00357,M00617,M00618	acetate kinase [EC:2.7.2.1]
K02257	contigs_clean	196	c_000000000005	M00154	heme o synthase [EC:2.5.1.141]
K02297	contigs_clean	200	c_000000000005	M00417	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]
K02298	contigs_clean	199	c_000000000005	M00417	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]
K02299	contigs_clean	198	c_000000000005	M00417	cytochrome o ubiquinol oxidase subunit III
K02300	contigs_clean	197	c_000000000005	M00417	cytochrome o ubiquinol oxidase subunit IV
K02111	contigs_clean	705	c_000000000016	M00157	F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
K02112	contigs_clean	707	c_000000000016	M00157	F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
K02113	contigs_clean	704	c_000000000016	M00157	F-type H+-transporting ATPase subunit delta
K02114	contigs_clean	708	c_000000000016	M00157	F-type H+-transporting ATPase subunit epsilon
K02115	contigs_clean	706	c_000000000016	M00157	F-type H+-transporting ATPase subunit gamma
K02108	contigs_clean	701	c_000000000016	M00157	F-type H+-transporting ATPase subunit a
K02109	contigs_clean	703	c_000000000016	M00157	F-type H+-transporting ATPase subunit b
K02110	contigs_clean	702	c_000000000016	M00157	F-type H+-transporting ATPase subunit c
K00645	contigs_clean	244	c_000000000005	M00082,M00873,M00874	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]
K00648	contigs_clean	243	c_000000000005	M00082	3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]
K00647	contigs_clean	520	c_000000000011	M00083,M00572	3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
K00059	contigs_clean	245	c_000000000005	M00083,M00874,M00572	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K02372	contigs_clean	734	c_000000000017	M00083,M00572	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
K01716	contigs_clean	653	c_000000000015	M00083	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
K00208	contigs_clean	635	c_000000000013	M00083,M00572	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00655	contigs_clean	577	c_000000000013	M00089	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K00981	contigs_clean	729	c_000000000017	M00093	phosphatidate cytidylyltransferase [EC:2.7.7.41]
K00998	contigs_clean	448	c_000000000011	M00093	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]
K01613	contigs_clean	79	c_000000000003	M00093	phosphatidylserine decarboxylase [EC:4.1.1.65]
K01756	contigs_clean	763	c_000000000018	M00048,M00049	adenylosuccinate lyase [EC:4.3.2.2]
K01939	contigs_clean	259	c_000000000005	M00049	adenylosuccinate synthase [EC:6.3.4.4]
K00939	contigs_clean	531	c_000000000011	M00049	adenylate kinase [EC:2.7.4.3]
K00940	contigs_clean	819	c_000000000020	M00049,M00050,M00053,M00052,M00938	nucleoside-diphosphate kinase [EC:2.7.4.6]
K00088	contigs_clean	1	c_000000000001	M00050	IMP dehydrogenase [EC:1.1.1.205]
K01951	contigs_clean	2	c_000000000001	M00050	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
K00942	contigs_clean	517	c_000000000011	M00050	guanylate kinase [EC:2.7.4.8]
K00525	contigs_clean	150	c_000000000004	M00053,M00938	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
K00526	contigs_clean	151	c_000000000004	M00053,M00938	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
K05810	contigs_clean	127	c_000000000003	M00958,M00959,M00034	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
K03784	contigs_clean	233	c_000000000005	M00958,M00959	purine-nucleoside phosphorylase [EC:2.4.2.1]
K01955	contigs_clean	365	c_000000000008	M00051	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
K01956	contigs_clean	366	c_000000000008	M00051	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
K00254	contigs_clean	429	c_000000000011	M00051	dihydroorotate dehydrogenase [EC:1.3.5.2]
K00762	contigs_clean	664	c_000000000016	M00051	orotate phosphoribosyltransferase [EC:2.4.2.10]
K01591	contigs_clean	544	c_000000000012	M00051	orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]
K09903	contigs_clean	725	c_000000000017	M00052	uridylate kinase [EC:2.7.4.22]
K01937	contigs_clean	86	c_000000000003	M00052	CTP synthase [EC:6.3.4.2]
K01520	contigs_clean	675	c_000000000016	M00938	dUTP diphosphatase [EC:3.6.1.23]
K00560	contigs_clean	748	c_000000000017	M00938	thymidylate synthase [EC:2.1.1.45]
K00943	contigs_clean	237	c_000000000005	M00938	dTMP kinase [EC:2.7.4.9]
K00831	contigs_clean	41	c_000000000003	M00020,M00124	phosphoserine aminotransferase [EC:2.6.1.52]
K00928	contigs_clean	56	c_000000000003	M00018,M00033,M00017,M00016,M00525,M00526,M00527	aspartate kinase [EC:2.7.2.4]
K00133	contigs_clean	665	c_000000000016	M00018,M00033,M00017,M00016,M00525,M00526,M00527	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00789	contigs_clean	651	c_000000000015	M00609,M00034,M00035,M00368,M00953	S-adenosylmethionine synthetase [EC:2.5.1.6]
K01243	contigs_clean	128	c_000000000004	M00609,M00034	adenosylhomocysteine nucleosidase [EC:3.2.2.9]
K01714	contigs_clean	7	c_000000000002	M00016,M00525,M00526,M00527	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]
K00215	contigs_clean	335	c_000000000008	M00016,M00525,M00526,M00527	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00674	contigs_clean	398	c_000000000010	M00016	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase [EC:2.3.1.117]
K01439	contigs_clean	107	c_000000000003	M00016	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
K01778	contigs_clean	680	c_000000000016	M00016,M00525,M00527	diaminopimelate epimerase [EC:5.1.1.7]
K01586	contigs_clean	211	c_000000000005	M00016,M00525,M00526,M00527	diaminopimelate decarboxylase [EC:4.1.1.20]
K00657	contigs_clean	829	c_000000000021	M00135	diamine N-acetyltransferase [EC:2.3.1.57]
K01626	contigs_clean	21	c_000000000003	M00022	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K01626	contigs_clean	22	c_000000000003	M00022	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K03786	contigs_clean	129	c_000000000004	M00022	3-dehydroquinate dehydratase II [EC:4.2.1.10]
K00891	contigs_clean	217	c_000000000005	M00022	shikimate kinase [EC:2.7.1.71]
K00800	contigs_clean	799	c_000000000020	M00022	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]
K01736	contigs_clean	698	c_000000000016	M00022	chorismate synthase [EC:4.2.3.5]
K00766	contigs_clean	166	c_000000000005	M00023	anthranilate phosphoribosyltransferase [EC:2.4.2.18]
K13498	contigs_clean	165	c_000000000005	M00023	indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K01695	contigs_clean	163	c_000000000005	M00023	tryptophan synthase alpha chain [EC:4.2.1.20]
K01696	contigs_clean	164	c_000000000005	M00023	tryptophan synthase beta chain [EC:4.2.1.20]
K01919	contigs_clean	409	c_000000000011	M00118	glutamate--cysteine ligase [EC:6.3.2.2]
K01920	contigs_clean	743	c_000000000017	M00118	glutathione synthase [EC:6.3.2.3]
K00677	contigs_clean	735	c_000000000017	M00060,M00866	UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]
K02535	contigs_clean	513	c_000000000011	M00060,M00866	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02536	contigs_clean	733	c_000000000017	M00060,M00866	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
K03269	contigs_clean	521	c_000000000011	M00060,M00866	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]
K00748	contigs_clean	736	c_000000000017	M00060,M00866	lipid-A-disaccharide synthase [EC:2.4.1.182]
K00912	contigs_clean	522	c_000000000011	M00060,M00866	tetraacyldisaccharide 4'-kinase [EC:2.7.1.130]
K02527	contigs_clean	116	c_000000000003	M00060,M00866	3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]
K02517	contigs_clean	390	c_000000000009	M00060,M00866	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
K02560	contigs_clean	137	c_000000000004	M00060	lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]
K06041	contigs_clean	20	c_000000000003	M00063	arabinose-5-phosphate isomerase [EC:5.3.1.13]
K01627	contigs_clean	37	c_000000000003	M00063	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
K00979	contigs_clean	453	c_000000000011	M00063	3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]
K03271	contigs_clean	272	c_000000000006	M00064	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]
K03272	contigs_clean	444	c_000000000011	M00064	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]
K03274	contigs_clean	713	c_000000000017	M00064	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K00946	contigs_clean	553	c_000000000013	M00127,M00895,M00896	thiamine-monophosphate kinase [EC:2.7.4.16]
K01497	contigs_clean	573	c_000000000013	M00125,M00911	GTP cyclohydrolase II [EC:3.5.4.25]
K11752	contigs_clean	556	c_000000000013	M00125	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
K21064	contigs_clean	383	c_000000000009	M00125	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
K02858	contigs_clean	431	c_000000000011	M00125,M00911	3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]
K00794	contigs_clean	555	c_000000000013	M00125,M00911	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
K00793	contigs_clean	202	c_000000000005	M00125,M00911	riboflavin synthase [EC:2.5.1.9]
K11753	contigs_clean	339	c_000000000008	M00125	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
K00969	contigs_clean	190	c_000000000005	M00115,M00912	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
K01916	contigs_clean	407	c_000000000011	M00115,M00912	NAD+ synthase [EC:6.3.1.5]
K00606	contigs_clean	92	c_000000000003	M00119,M00913,M00914	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
K00077	contigs_clean	372	c_000000000009	M00119,M00913,M00914	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K01918	contigs_clean	91	c_000000000003	M00119,M00913	pantoate--beta-alanine ligase [EC:6.3.2.1]
K00867	contigs_clean	284	c_000000000006	M00120	type I pantothenate kinase [EC:2.7.1.33]
K13038	contigs_clean	674	c_000000000016	M00120,M00914	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]
K00954	contigs_clean	118	c_000000000003	M00120	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
K00859	contigs_clean	663	c_000000000016	M00120	dephospho-CoA kinase [EC:2.7.1.24]
K00833	contigs_clean	110	c_000000000003	M00123,M00577	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K01935	contigs_clean	112	c_000000000003	M00123,M00950,M00573,M00577	dethiobiotin synthetase [EC:6.3.3.3]
K01012	contigs_clean	111	c_000000000003	M00123,M00950,M00573,M00577	biotin synthase [EC:2.8.1.6]
K03801	contigs_clean	271	c_000000000006	M00881	lipoyl(octanoyl) transferase [EC:2.3.1.181]
K03644	contigs_clean	265	c_000000000006	M00881,M00882,M00883,M00884	lipoyl synthase [EC:2.8.1.8]
K01495	contigs_clean	161	c_000000000005	M00126,M00841,M00842,M00843	GTP cyclohydrolase IA [EC:3.5.4.16]
K01633	contigs_clean	320	c_000000000008	M00126,M00840	7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]
K00950	contigs_clean	382	c_000000000009	M00126	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
K00796	contigs_clean	851	c_000000000022	M00126	dihydropteroate synthase [EC:2.5.1.15]
K11754	contigs_clean	82	c_000000000003	M00126,M00841	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
K00287	contigs_clean	364	c_000000000008	M00126,M00840	dihydrofolate reductase [EC:1.5.1.3]
K01737	contigs_clean	89	c_000000000003	M00842,M00843	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]
K02496	contigs_clean	685	c_000000000016	M00846	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K01885	contigs_clean	450	c_000000000011	M00121	glutamyl-tRNA synthetase [EC:6.1.1.17]
K03179	contigs_clean	548	c_000000000012	M00117	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03182	contigs_clean	667	c_000000000016	M00117	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]
K03185	contigs_clean	610	c_000000000013	M00117	2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]
K03183	contigs_clean	671	c_000000000016	M00117,M00116	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
K03184	contigs_clean	417	c_000000000011	M00117	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K01662	contigs_clean	591	c_000000000013	M00096	1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]
K00099	contigs_clean	727	c_000000000017	M00096	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00991	contigs_clean	45	c_000000000003	M00096	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
K00919	contigs_clean	19	c_000000000003	M00096	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
K01770	contigs_clean	46	c_000000000003	M00096	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
K03526	contigs_clean	815	c_000000000020	M00096	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
K03527	contigs_clean	336	c_000000000008	M00096	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
K00795	contigs_clean	592	c_000000000013	M00364	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K02078	contigs_clean	246	c_000000000005	M00848	acyl carrier protein
K09476	contigs_clean	598	c_000000000013	M00746	outer membrane pore protein F
K02904	contigs_clean	477	c_000000000011	None	large subunit ribosomal protein L29
K02906	contigs_clean	469	c_000000000011	None	large subunit ribosomal protein L3
K03610	contigs_clean	461	c_000000000011	None	septum site-determining protein MinC
K02874	contigs_clean	479	c_000000000011	None	large subunit ribosomal protein L14
K02965	contigs_clean	473	c_000000000011	None	small subunit ribosomal protein S19
K01883	contigs_clean	467	c_000000000011	None	cysteinyl-tRNA synthetase [EC:6.1.1.16]
K01893	contigs_clean	462	c_000000000011	None	asparaginyl-tRNA synthetase [EC:6.1.1.22]
K02961	contigs_clean	478	c_000000000011	None	small subunit ribosomal protein S17
K02946	contigs_clean	468	c_000000000011	None	small subunit ribosomal protein S10
K02982	contigs_clean	475	c_000000000011	None	small subunit ribosomal protein S3
K02954	contigs_clean	482	c_000000000011	None	small subunit ribosomal protein S14
K02994	contigs_clean	483	c_000000000011	None	small subunit ribosomal protein S8
K02878	contigs_clean	476	c_000000000011	None	large subunit ribosomal protein L16
K02886	contigs_clean	472	c_000000000011	None	large subunit ribosomal protein L2
K02892	contigs_clean	471	c_000000000011	None	large subunit ribosomal protein L23
K02931	contigs_clean	481	c_000000000011	None	large subunit ribosomal protein L5
K03608	contigs_clean	459	c_000000000011	None	cell division topological specificity factor
K02933	contigs_clean	484	c_000000000011	None	large subunit ribosomal protein L6
K02890	contigs_clean	474	c_000000000011	None	large subunit ribosomal protein L22
K02926	contigs_clean	470	c_000000000011	None	large subunit ribosomal protein L4
K03609	contigs_clean	460	c_000000000011	None	septum site-determining protein MinD
K02881	contigs_clean	485	c_000000000011	None	large subunit ribosomal protein L18
K02895	contigs_clean	480	c_000000000011	None	large subunit ribosomal protein L24
K02939	contigs_clean	32	c_000000000003	None	large subunit ribosomal protein L9
K02871	contigs_clean	29	c_000000000003	None	large subunit ribosomal protein L13
K11991	contigs_clean	43	c_000000000003	None	tRNA(adenine34) deaminase [EC:3.5.4.33]
K06194	contigs_clean	42	c_000000000003	None	lipoprotein NlpD
K03402	contigs_clean	53	c_000000000003	None	transcriptional regulator of arginine metabolism
K03599	contigs_clean	27	c_000000000003	None	stringent starvation protein A
K02686	contigs_clean	34	c_000000000003	None	primosomal replication protein N
K02493	contigs_clean	39	c_000000000003	None	release factor glutamine methyltransferase [EC:2.1.1.297]
K05589	contigs_clean	44	c_000000000003	None	cell division protein FtsB
K03100	contigs_clean	50	c_000000000003	None	signal peptidase I [EC:3.4.21.89]
K02963	contigs_clean	33	c_000000000003	None	small subunit ribosomal protein S18
K02990	contigs_clean	35	c_000000000003	None	small subunit ribosomal protein S6
K00799	contigs_clean	27	c_000000000003	None	glutathione S-transferase [EC:2.5.1.18]
K00799	contigs_clean	326	c_000000000008	None	glutathione S-transferase [EC:2.5.1.18]
K03685	contigs_clean	51	c_000000000003	None	ribonuclease III [EC:3.1.26.3]
K02996	contigs_clean	28	c_000000000003	None	small subunit ribosomal protein S9
K02835	contigs_clean	40	c_000000000003	None	peptide chain release factor 1
K02968	contigs_clean	31	c_000000000003	None	small subunit ribosomal protein S20
K03596	contigs_clean	49	c_000000000003	None	GTP-binding protein LepA
K01141	contigs_clean	47	c_000000000003	None	exodeoxyribonuclease I [EC:3.1.11.1]
K03595	contigs_clean	52	c_000000000003	None	GTPase
K02911	contigs_clean	241	c_000000000005	None	large subunit ribosomal protein L32
K04754	contigs_clean	232	c_000000000005	None	phospholipid-binding lipoprotein MlaA
K03980	contigs_clean	224	c_000000000005	None	putative peptidoglycan lipid II flippase
K08154	contigs_clean	229	c_000000000005	None	MFS transporter, DHA1 family, 2-module integral membrane pump EmrD
K07566	contigs_clean	228	c_000000000005	None	L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]
K03500	contigs_clean	220	c_000000000005	None	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]
K03499	contigs_clean	221	c_000000000005	None	trk/ktr system potassium uptake protein
K02341	contigs_clean	236	c_000000000005	None	DNA polymerase III subunit delta' [EC:2.7.7.7]
K01462	contigs_clean	218	c_000000000005	None	peptide deformylase [EC:3.5.1.88]
K00604	contigs_clean	219	c_000000000005	None	methionyl-tRNA formyltransferase [EC:2.1.2.9]
K07186	contigs_clean	234	c_000000000005	None	membrane protein
K03282	contigs_clean	225	c_000000000005	None	large conductance mechanosensitive channel
K07082	contigs_clean	238	c_000000000005	None	UPF0755 protein
K03424	contigs_clean	235	c_000000000005	None	TatD DNase family protein [EC:3.1.21.-]
K02343	contigs_clean	691	c_000000000016	None	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
K00759	contigs_clean	692	c_000000000016	None	adenine phosphoribosyltransferase [EC:2.4.2.7]
K09747	contigs_clean	690	c_000000000016	None	nucleoid-associated protein EbfC
K06980	contigs_clean	696	c_000000000016	None	tRNA-modifying protein YgfZ
K02498	contigs_clean	686	c_000000000016	None	HemY protein
K03168	contigs_clean	694	c_000000000016	None	DNA topoisomerase I [EC:5.6.2.1]
K21449	contigs_clean	194	c_000000000005	None	trimeric autotransporter adhesin
K02622	contigs_clean	206	c_000000000005	None	topoisomerase IV subunit B [EC:5.6.2.2]
K02340	contigs_clean	189	c_000000000005	None	DNA polymerase III subunit delta [EC:2.7.7.7]
K03498	contigs_clean	204	c_000000000005	None	trk/ktr system potassium uptake protein
K05805	contigs_clean	212	c_000000000005	None	CreA protein
K01669	contigs_clean	191	c_000000000005	None	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]
K03624	contigs_clean	203	c_000000000005	None	transcription elongation factor GreA
K04773	contigs_clean	192	c_000000000005	None	protease IV [EC:3.4.21.-]
K03210	contigs_clean	560	c_000000000013	None	preprotein translocase subunit YajC
K07738	contigs_clean	557	c_000000000013	None	transcriptional repressor NrdR
K03571	contigs_clean	543	c_000000000011	None	rod shape-determining protein MreD
K03570	contigs_clean	542	c_000000000011	None	rod shape-determining protein MreC
K03072	contigs_clean	559	c_000000000013	None	preprotein translocase subunit SecD
K00631	contigs_clean	546	c_000000000012	None	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K03074	contigs_clean	558	c_000000000013	None	preprotein translocase subunit SecF
K08679	contigs_clean	563	c_000000000013	None	UDP-glucuronate 4-epimerase [EC:5.1.3.6]
K01095	contigs_clean	552	c_000000000013	None	phosphatidylglycerophosphatase A [EC:3.1.3.27]
K00773	contigs_clean	561	c_000000000013	None	queuine tRNA-ribosyltransferase [EC:2.4.2.29]
K03322	contigs_clean	551	c_000000000013	None	manganese transport protein
K07568	contigs_clean	562	c_000000000013	None	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]
K03569	contigs_clean	541	c_000000000011	None	rod shape-determining protein MreB and related proteins
K03625	contigs_clean	554	c_000000000013	None	transcription antitermination protein NusB
K07277	contigs_clean	731	c_000000000017	None	outer membrane protein insertion porin family
