query	Identification_Source	Pseudofinder_reason	Disruption	Coverage	Cov_comp	Variant_Type	DP	Preferred_name	COG_category	EC	KEGG_ko	KEGG_Module	Description
MRSS_00020	Match	Intergenic region with 8 blast hits.	Align length out range	13.55	Low Cov	-	-	-	-	-	-	-	-
MRSS_00023	Match	Intergenic region with 15 blast hits.	Frameshift/Internal Stop	20.97	Mean Cov	INDEL	4.0	aroF	E	2.5.1.54	ko:K01626	M00022	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
MRSS_00023	Match	Intergenic region with 9 blast hits.	Frameshift/Internal Stop	20.97	Mean Cov	INDEL	4.0	aroF	E	2.5.1.54	ko:K01626	M00022	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
MRSS_00023	Match	ORF is 39.4%25 of the average length of hits to this gene.	Frameshift/Internal Stop	20.97	Mean Cov	INDEL	4.0	aroF	E	2.5.1.54	ko:K01626	M00022	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
MRSS_00024	Match	Intergenic region with 15 blast hits.	Frameshift/Internal Stop	20.03	Low Cov	-	-	aroF	E	2.5.1.54	ko:K01626	M00022	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
MRSS_00024	Match	Intergenic region with 11 blast hits.	Frameshift/Internal Stop	20.03	Low Cov	-	-	aroF	E	2.5.1.54	ko:K01626	M00022	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
MRSS_00024	Match	ORF is 29.3%25 of the average length of hits to this gene.	Frameshift/Internal Stop	20.03	Low Cov	-	-	aroF	E	2.5.1.54	ko:K01626	M00022	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
MRSS_00026	Match	Intergenic region with 15 blast hits.	Align length out range	7.03	Low Cov	-	-	metG	J	6.1.1.10	ko:K01874	M00359,M00360	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
MRSS_00026	Match	Predicted fragmentation of a single gene.	Align length out range	7.03	Low Cov	-	-	metG	J	6.1.1.10	ko:K01874	M00359,M00360	Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
MRSS_00028	Match	Intergenic region with 15 blast hits.	Align length out range	18.05	Low Cov	-	-	-	-	-	-	-	-
MRSS_00032	Match	Intergenic region with 15 blast hits.	Align length out range	8.72	Low Cov	-	-	-	-	-	-	-	-
MRSS_00050	Match	Intergenic region with 15 blast hits.	Align length out range	19.14	Low Cov	-	-	rpoE	K	-	ko:K03088	-	Belongs to the sigma-70 factor family. ECF subfamily
MRSS_00050	Match	ORF is 49.7%25 of the average length of hits to this gene.	Align length out range	19.14	Low Cov	-	-	rpoE	K	-	ko:K03088	-	Belongs to the sigma-70 factor family. ECF subfamily
MRSS_00056	Match	Intergenic region with 15 blast hits.	Align length out range	2.0	Low Cov	-	-	-	-	-	-	-	-
MRSS_00067	Match	Intergenic region with 15 blast hits.	Align length out range	18.29	Low Cov	Transition	12.0	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00068	Match	Intergenic region with 15 blast hits.	Align length out range	19.82	Low Cov	-	-	lrp	K	-	ko:K03719	-	Transcriptional regulator
MRSS_00069	Match	ORF is 21.3%25 of the average length of hits to this gene.	Align length out range	23.55	Mean Cov	INDEL	4.0	ftsK	D	-	ko:K03466	-	COG1674 DNA segregation ATPase FtsK SpoIIIE and related proteins
MRSS_00069	Match	Intergenic region with 15 blast hits.	Align length out range	23.55	Mean Cov	INDEL	4.0	ftsK	D	-	ko:K03466	-	COG1674 DNA segregation ATPase FtsK SpoIIIE and related proteins
MRSS_00071	Match	Intergenic region with 15 blast hits.	Align length out range	11.11	Low Cov	-	-	-	-	-	-	-	-
MRSS_00077	Match	Intergenic region with 5 blast hits.	Align length out range	10.93	Low Cov	-	-	pdxJ	H	2.6.99.2	ko:K03474	M00124	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
MRSS_00077	Match	Predicted fragmentation of a single gene.	Align length out range	10.93	Low Cov	-	-	pdxJ	H	2.6.99.2	ko:K03474	M00124	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
MRSS_00077	Match	ORF is 33.0%25 of the average length of hits to this gene.	Align length out range	10.93	Low Cov	-	-	pdxJ	H	2.6.99.2	ko:K03474	M00124	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
MRSS_00077	Match	Intergenic region with 15 blast hits.	Align length out range	10.93	Low Cov	-	-	pdxJ	H	2.6.99.2	ko:K03474	M00124	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
MRSS_00078	Match	Intergenic region with 15 blast hits.	Align length out range	14.74	Low Cov	-	-	-	-	-	-	-	-
MRSS_00093	Match	ORF is 21.1%25 of the average length of hits to this gene.	Align length out range	12.29	Low Cov	-	-	panC	H	6.3.2.1	ko:K01918	M00119	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate
MRSS_00093	Match	Intergenic region with 15 blast hits.	Align length out range	12.29	Low Cov	-	-	panC	H	6.3.2.1	ko:K01918	M00119	Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate
MRSS_00094	Match	ORF is 43.6%25 of the average length of hits to this gene.	Align length out range	33.81	Mean Cov	-	-	panB	H	2.1.2.11	ko:K00606	M00119	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate
MRSS_00094	Match	Intergenic region with 15 blast hits.	Align length out range	33.81	Mean Cov	-	-	panB	H	2.1.2.11	ko:K00606	M00119	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate
MRSS_00098	Manual Only	-	Align length out range	12.37	Low Cov	-	-	-	K	-	-	-	PFAM MuA-transposase repressor protein CI DNA-binding
MRSS_00099	Manual Only	-	Align length out range	2.54	Low Cov	-	-	-	-	-	-	-	-
MRSS_00103	Manual Only	-	Align length out range	10.28	Low Cov	-	-	-	-	-	-	-	-
MRSS_00108	Match	ORF is 42.4%25 of the average length of hits to this gene.	Align length out range	9.45	Low Cov	-	-	yffB	P	1.20.4.1	ko:K00537	-	Belongs to the ArsC family
MRSS_00121	Match	ORF is 12.0%25 of the average length of hits to this gene.	Align length out range	10.63	Low Cov	-	-	-	-	-	-	-	-
MRSS_00140	Manual Only	-	Align length out range	0.99	Low Cov	-	-	-	-	-	-	-	-
MRSS_00141	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00142	Manual Only	-	Align length out range	6.04	Low Cov	-	-	-	-	-	-	-	-
MRSS_00145	Manual Only	-	Align length out range	2.93	Low Cov	-	-	-	-	-	-	-	-
MRSS_00152	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00154	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00155	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00159	Manual Only	-	Align length out range	13.65	Low Cov	-	-	-	-	-	-	-	-
MRSS_00163	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00166	Match	ORF is 36.6%25 of the average length of hits to this gene.	Align length out range	13.44	Low Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00168	Match	ORF is 24.9%25 of the average length of hits to this gene.	Align length out range	2.79	Low Cov	-	-	ubiX	H	2.5.1.129	ko:K03186	M00117	Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN
MRSS_00173	Manual Only	-	Align length out range	22.49	Mean Cov	INDEL	3.0	pabA	EH	2.4.2.18,2.6.1.85,4.1.3.27	ko:K01658,ko:K01664,ko:K13497	M00023	Anthranilate synthase
MRSS_00174	Match	Predicted fragmentation of a single gene.	Align length out range	25.73	Mean Cov	INDEL	2.0	trpE	EH	2.6.1.85,4.1.3.27	ko:K01657,ko:K01665,ko:K13950	M00023	component I
MRSS_00175	Match	Predicted fragmentation of a single gene.	Frameshift/Internal Stop; Frameshift; Low Identity	23.3	Mean Cov	-	-	trpE	EH	2.6.1.85,4.1.3.27	ko:K01657,ko:K01665,ko:K13950	M00023	component I
MRSS_00183	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00190	Match	Predicted fragmentation of a single gene.	Align length out range	17.84	Low Cov	-	-	arnD	G	-	ko:K13014	M00721,M00761	Catalyzes the deformylation of 4-deoxy-4-formamido-L- arabinose-phosphoundecaprenol to 4-amino-4-deoxy-L-arabinose- phosphoundecaprenol. The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides
MRSS_00194	Manual Only	-	Align length out range	4.98	Low Cov	-	-	-	-	-	-	-	-
MRSS_00199	Manual Only	-	Frameshift/Internal Stop	28.87	Mean Cov	INDEL	3.0	nadD	H	2.7.7.18,3.5.4.4	ko:K00969,ko:K01488	M00115	Catalyzes the reversible adenylation of nicotinate mononucleotide (NaMN) to nicotinic acid adenine dinucleotide (NaAD)
MRSS_00203	Match	ORF is 22.2%25 of the average length of hits to this gene.	Align length out range	9.47	Low Cov	-	-	-	U	3.4.21.72	ko:K01347,ko:K15125	-	domain, Protein
MRSS_00205	Manual Only	-	Align length out range	20.97	Mean Cov	INDEL	3.0	-	-	-	-	-	-
MRSS_00211	Manual Only	-	Align length out range	14.97	Low Cov	-	-	-	-	-	-	-	-
MRSS_00212	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00218	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00219	Manual Only	-	Align length out range	16.7	Low Cov	-	-	-	-	-	-	-	-
MRSS_00220	Manual Only	-	Align length out range	4.15	Low Cov	-	-	-	-	-	-	-	-
MRSS_00221	Manual Only	-	Align length out range	6.76	Low Cov	-	-	-	-	-	-	-	-
MRSS_00223	Manual Only	-	Align length out range	28.95	Mean Cov	INDEL	4.0	creA	S	-	ko:K05805	-	protein conserved in bacteria
MRSS_00223	Manual Only	-	Align length out range	28.95	Mean Cov	INDEL	8.0	creA	S	-	ko:K05805	-	protein conserved in bacteria
MRSS_00225	Manual Only	-	Align length out range	8.9	Low Cov	-	-	-	-	-	-	-	-
MRSS_00226	Match	Predicted fragmentation of a single gene.	Frameshift/Internal Stop	30.83	Mean Cov	INDEL	3.0	aroB	E	4.2.3.4	ko:K01735	M00022	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
MRSS_00227	Match	Predicted fragmentation of a single gene.	Align length out range	12.68	Low Cov	-	-	aroB	E	4.2.3.4	ko:K01735	M00022	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
MRSS_00233	Match	ORF is 42.1%25 of the average length of hits to this gene.	Align length out range	27.93	Mean Cov	-	-	aroE	E	1.1.1.25	ko:K00014	M00022	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
MRSS_00236	Manual Only	-	Frameshift/Internal Stop; Frameshift	19.51	Low Cov	INDEL	3.0	mscL	M	-	ko:K03282	-	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell
MRSS_00237	Manual Only	-	Align length out range	7.58	Low Cov	-	-	-	-	-	-	-	-
MRSS_00238	Match	ORF is 23.5%25 of the average length of hits to this gene.	Align length out range	10.72	Low Cov	-	-	aroE	E	1.1.1.25	ko:K00014	M00022	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
MRSS_00250	Match	ORF is 24.2%25 of the average length of hits to this gene.	Align length out range	15.4	Low Cov	-	-	pabC	EH	4.1.3.38	ko:K02619	-	4-amino-4-deoxychorismate lyase
MRSS_00251	Manual Only	-	Align length out range	18.21	Low Cov	-	-	-	-	-	-	-	-
MRSS_00253	Match	ORF is 20.8%25 of the average length of hits to this gene.	Align length out range	13.17	Low Cov	-	-	plsX	I	2.3.1.15	ko:K03621	M00089	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA
MRSS_00261	Manual Only	-	Align length out range	5.86	Low Cov	-	-	-	-	-	-	-	-
MRSS_00262	Match	Predicted fragmentation of a single gene.	Align length out range	23.55	Mean Cov	INDEL	4.0	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00269	Match	ORF is 45.5%25 of the average length of hits to this gene.	Align length out range	-	Mean Cov	-	-	yjeT	S	-	ko:K09937	-	Uncharacterized protein conserved in bacteria (DUF2065)
MRSS_00275	Manual Only	-	Align length out range	18.89	Low Cov	-	-	-	-	-	-	-	-
MRSS_00277	Manual Only	-	Align length out range	2.0	Low Cov	-	-	-	-	-	-	-	-
MRSS_00279	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00280	Manual Only	-	Align length out range	9.69	Low Cov	-	-	-	-	-	-	-	-
MRSS_00296	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00297	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00298	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00299	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00302	Match	ORF is 50.0%25 of the average length of hits to this gene.	Align length out range	19.03	Low Cov	-	-	rlmH	J	2.1.1.177	ko:K00783	-	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA
MRSS_00306	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00307	Manual Only	-	Premature Stop	32.24	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00308	Manual Only	-	Align length out range	9.71	Low Cov	-	-	-	-	-	-	-	-
MRSS_00309	Manual Only	-	Premature Stop	35.38	Mean Cov	Transition	36.0	-	-	-	-	-	-
MRSS_00309	Manual Only	-	Premature Stop	35.38	Mean Cov	INDEL	2.0	-	-	-	-	-	-
MRSS_00331	Match	ORF is 25.7%25 of the average length of hits to this gene.	Align length out range	16.22	Low Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00335	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00338	Manual Only	-	Align length out range	11.72	Low Cov	-	-	-	-	-	-	-	-
MRSS_00339	Manual Only	-	Align length out range	21.11	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00341	Match	ORF is 28.2%25 of the average length of hits to this gene.	Align length out range	8.73	Low Cov	-	-	plsY	I	2.3.1.15	ko:K08591	M00089	Catalyzes the transfer of an acyl group from acyl- phosphate (acyl-PO(4)) to glycerol-3-phosphate (G3P) to form lysophosphatidic acid (LPA). This enzyme utilizes acyl-phosphate as fatty acyl donor, but not acyl-CoA or acyl-ACP
MRSS_00346	Manual Only	-	Align length out range	20.03	Low Cov	INDEL	6.0	yghU	H	-	ko:K11209	-	glutathione s-transferase
MRSS_00347	Manual Only	-	Align length out range	18.19	Low Cov	-	-	-	-	-	-	-	-
MRSS_00349	Manual Only	-	Align length out range	7.31	Low Cov	-	-	-	-	-	-	-	-
MRSS_00351	Match	ORF is 30.7%25 of the average length of hits to this gene.	Align length out range	20.97	Mean Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00354	Match	ORF is 51.7%25 of the average length of hits to this gene.	Align length out range	16.06	Low Cov	INDEL	2.0	corC	P	-	ko:K06189	-	Mg2 and Co2 transporter CorC
MRSS_00367	Match	ORF is 27.0%25 of the average length of hits to this gene.	Align length out range	10.86	Low Cov	-	-	-	-	-	-	-	-
MRSS_00376	Manual Only	-	Align length out range	16.0	Low Cov	-	-	-	-	-	-	-	-
MRSS_00380	Manual Only	-	Align length out range	8.93	Low Cov	-	-	-	-	-	-	-	-
MRSS_00381	Manual Only	-	Align length out range	21.32	Mean Cov	INDEL	3.0	-	-	-	-	-	-
MRSS_00392	Manual Only	-	Align length out range	15.52	Low Cov	-	-	-	-	-	-	-	-
MRSS_00393	Match	ORF is 40.1%25 of the average length of hits to this gene.	Align length out range	19.36	Low Cov	INDEL	3.0	panE	H	1.1.1.169	ko:K00077	M00119	Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid
MRSS_00394	Match	ORF is 31.7%25 of the average length of hits to this gene.	Align length out range	6.01	Low Cov	-	-	-	-	-	-	-	-
MRSS_00398	Match	ORF is 31.3%25 of the average length of hits to this gene.	Align length out range	14.5	Low Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00405	Match	ORF is 57.6%25 of the average length of hits to this gene.	Align length out range	25.67	Mean Cov	-	-	ompA	M	-	ko:K03286	-	Belongs to the ompA family
MRSS_00412	Match	ORF is 29.8%25 of the average length of hits to this gene.	Align length out range	4.8	Low Cov	-	-	yedD	S	-	-	-	Lipoprotein
MRSS_00417	Match	ORF is 19.2%25 of the average length of hits to this gene.	Align length out range	11.44	Low Cov	-	-	-	-	-	-	-	-
MRSS_00420	Match	ORF is 27.8%25 of the average length of hits to this gene.	Align length out range	-	Mean Cov	-	-	yaeH	S	-	-	-	Belongs to the UPF0325 family
MRSS_00422	Match	ORF is 52.6%25 of the average length of hits to this gene.	Align length out range	12.09	Low Cov	-	-	cmoA	M	-	ko:K15256	-	Catalyzes the conversion of S-adenosyl-L-methionine (SAM) to carboxy-S-adenosyl-L-methionine (Cx-SAM)
MRSS_00423	Match	Predicted fragmentation of a single gene.	Frameshift/Internal Stop	19.09	Low Cov	INDEL	2.0	cmoB	J	-	ko:K15257	-	Catalyzes carboxymethyl transfer from carboxy-S- adenosyl-L-methionine (Cx-SAM) to 5-hydroxyuridine (ho5U) to form 5-carboxymethoxyuridine (cmo5U) at position 34 in tRNAs
MRSS_00424	Match	Predicted fragmentation of a single gene.	Align length out range	13.73	Low Cov	-	-	cmoB	J	-	ko:K15257	-	Catalyzes carboxymethyl transfer from carboxy-S- adenosyl-L-methionine (Cx-SAM) to 5-hydroxyuridine (ho5U) to form 5-carboxymethoxyuridine (cmo5U) at position 34 in tRNAs
MRSS_00425	Match	Predicted fragmentation of a single gene.	Align length out range	5.44	Low Cov	-	-	cmoB	J	-	ko:K15257	-	Catalyzes carboxymethyl transfer from carboxy-S- adenosyl-L-methionine (Cx-SAM) to 5-hydroxyuridine (ho5U) to form 5-carboxymethoxyuridine (cmo5U) at position 34 in tRNAs
MRSS_00432	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00435	Match	ORF is 38.0%25 of the average length of hits to this gene.	Align length out range	21.07	Mean Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00439	Match	Predicted fragmentation of a single gene.	Frameshift/Internal Stop; Frameshift	20.81	Mean Cov	-	-	ubiF	CH	-	ko:K03184	M00117	ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6
MRSS_00440	Match	Predicted fragmentation of a single gene.	Truncated; Frameshift/Internal Stop	9.89	Low Cov	-	-	ubiF	CH	-	ko:K03184	M00117	ubiquinone biosynthesis hydroxylase, UbiH UbiF VisC COQ6
MRSS_00441	Manual Only	-	Align length out range	8.89	Low Cov	-	-	-	-	-	-	-	-
MRSS_00442	Match	Predicted fragmentation of a single gene.	Frameshift/Internal Stop	21.45	Mean Cov	Transition	5.0	prc	M	3.4.21.102	ko:K03797	-	Belongs to the peptidase S41A family
MRSS_00443	Match	Predicted fragmentation of a single gene.	Align length out range	27.47	Mean Cov	-	-	prc	M	3.4.21.102	ko:K03797	-	Belongs to the peptidase S41A family
MRSS_00444	Match	ORF is 8.7%25 of the average length of hits to this gene.	Align length out range	8.51	Low Cov	-	-	prc	M	3.4.21.102	ko:K03797	-	Belongs to the peptidase S41A family
MRSS_00449	Match	ORF is 29.0%25 of the average length of hits to this gene.	Align length out range	11.05	Low Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00455	Match	ORF is 11.9%25 of the average length of hits to this gene.	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00459	Manual Only	-	Align length out range	23.69	Mean Cov	-	-	wzt	GM	-	ko:K09691	M00250	ABC transporter
MRSS_00464	Manual Only	-	Align length out range	21.93	Mean Cov	-	-	-	M	-	-	-	Nucleotidyl transferase
MRSS_00465	Manual Only	-	Align length out range	15.42	Low Cov	-	-	-	S	-	-	-	Cupin 2, conserved barrel domain protein
MRSS_00467	Manual Only	-	Align length out range	2.97	Low Cov	-	-	-	-	-	-	-	-
MRSS_00468	Manual Only	-	Align length out range	7.14	Low Cov	-	-	-	-	-	-	-	-
MRSS_00471	Match	ORF is 41.2%25 of the average length of hits to this gene.	Align length out range	7.57	Low Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00473	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00476	Manual Only	-	Align length out range	9.07	Low Cov	-	-	-	-	-	-	-	-
MRSS_00487	Match	ORF is 41.1%25 of the average length of hits to this gene.	Align length out range	4.65	Low Cov	-	-	dksA	T	-	ko:K06204	-	Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression
MRSS_00488	Manual Only	-	Align length out range	14.7	Low Cov	-	-	-	-	-	-	-	-
MRSS_00489	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00490	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00493	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00550	Manual Only	-	Align length out range	23.67	Mean Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
MRSS_00556	Manual Only	-	Premature Stop	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00560	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00561	Match	ORF is 27.4%25 of the average length of hits to this gene.	Align length out range	13.16	Low Cov	-	-	hemH	H	4.99.1.1,4.99.1.9	ko:K01772	M00121	Catalyzes the ferrous insertion into protoporphyrin IX
MRSS_00566	Match	ORF is 22.5%25 of the average length of hits to this gene.	Align length out range	19.3	Low Cov	INDEL	3.0	sdhA	C	1.3.5.1,1.3.5.4	ko:K00239	M00009,M00011,M00149,M00173,M00374,M00376	Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily
MRSS_00567	Manual Only	-	Align length out range	-	Mean Cov	-	-	-	-	-	-	-	-
MRSS_00568	Match	ORF is 57.2%25 of the average length of hits to this gene.	Frameshift/Internal Stop; Frameshift	22.22	Mean Cov	INDEL	4.0	ompA	M	-	ko:K03286	-	Belongs to the ompA family
MRSS_00573	Match	ORF is 19.1%25 of the average length of hits to this gene.	Align length out range	6.45	Low Cov	-	-	-	L	-	-	-	ISSoEn1, terminal inverted repeat
