query	has_internal_stop	first_internal_pos_nt	cds_length	ref_id	aa_mag_len	aa_ref_len	length_ratio	is_pseudogene
MRSS_00049	0	NaN	1434	WP_011410967.1	477.0	473.0	1.0084566596194504	False
MRSS_00050	0	NaN	285	WP_011411617.1	94.0	191.0	0.4921465968586387	True
MRSS_00051	0	NaN	1896	WP_011411613.1	631.0	599.0	1.0534223706176962	False
MRSS_00052	0	NaN	987	WP_011411612.1	328.0	328.0	1.0	False
MRSS_00053	0	NaN	681	WP_011411611.1	226.0	226.0	1.0	False
MRSS_00054	0	NaN	876	WP_011411610.1	291.0	301.0	0.9667774086378738	False
MRSS_00055	0	NaN	471	WP_011410222.1	156.0	156.0	1.0	False
MRSS_00056	0	NaN	126	WP_011410631.1	41.0	299.0	0.1371237458193979	True
MRSS_00057	0	NaN	1662	WP_011410234.1	553.0	643.0	0.8600311041990669	False
MRSS_00058	0	NaN	1365	WP_011411959.1	454.0	454.0	1.0	False
MRSS_00059	0	NaN	1362	WP_011410525.1	453.0	453.0	1.0	False
MRSS_00060	0	NaN	219	WP_002211347.1	72.0	72.0	1.0	False
MRSS_00061	0	NaN	258	WP_011411525.1	85.0	85.0	1.0	False
MRSS_00062	0	NaN	1728	WP_011411526.1	575.0	575.0	1.0	False
MRSS_00063	0	NaN	510	WP_011411527.1	169.0	169.0	1.0	False
MRSS_00064	0	NaN	1743	WP_050747920.1	580.0	563.0	1.030195381882771	False
MRSS_00065	0	NaN	3750	WP_011410216.1	1249.0	1274.0	0.9803767660910518	False
MRSS_00066	0	NaN	753	WP_011410731.1	250.0	250.0	1.0	False
MRSS_00067	0	NaN	468	WP_011412178.1	155.0	288.0	0.5381944444444444	True
MRSS_00068	0	NaN	324	WP_011410741.1	107.0	164.0	0.6524390243902439	True
MRSS_00069	0	NaN	705	WP_011410742.1	234.0	1155.0	0.2025974025974026	True
MRSS_00070	0	NaN	204	WP_041867078.1	67.0	67.0	1.0	False
MRSS_00071	0	NaN	207	WP_011411296.1	68.0	160.0	0.425	True
MRSS_00072	0	NaN	528	WP_011410218.1	175.0	175.0	1.0	False
MRSS_00073	0	NaN	477	WP_011411710.1	158.0	175.0	0.9028571428571428	False
MRSS_00074	0	NaN	456	WP_011411537.1	151.0	151.0	1.0	False
MRSS_00075	0	NaN	861	WP_041867589.1	286.0	262.0	1.0916030534351144	False
MRSS_00076	0	NaN	381	WP_011411607.1	126.0	126.0	1.0	False
MRSS_00077	0	NaN	243	WP_011411608.1	80.0	243.0	0.3292181069958848	True
MRSS_00078	0	NaN	294	WP_011411657.1	97.0	542.0	0.1789667896678966	True
MRSS_00079	0	NaN	978	WP_011410173.1	325.0	325.0	1.0	False
MRSS_00080	0	NaN	3321	WP_011410174.1	1106.0	1096.0	1.0091240875912408	False
MRSS_00081	0	NaN	888	WP_011410175.1	295.0	295.0	1.0	False
MRSS_00082	0	NaN	546	WP_011410177.1	181.0	181.0	1.0	False
MRSS_00083	0	NaN	540	WP_011411443.1	179.0	229.0	0.7816593886462883	False
MRSS_00084	0	NaN	1272	WP_011411444.1	423.0	421.0	1.004750593824228	False
MRSS_00085	0	NaN	921	WP_011411445.1	306.0	306.0	1.0	False
MRSS_00086	0	NaN	78	NaN	NaN	NaN	NaN	False
MRSS_00087	0	NaN	2070	WP_011411102.1	689.0	689.0	1.0	False
MRSS_00088	0	NaN	1662	WP_011410485.1	553.0	545.0	1.0146788990825688	False
MRSS_00089	0	NaN	1302	WP_011410486.1	433.0	433.0	1.0	False
MRSS_00090	0	NaN	672	WP_011410487.1	223.0	223.0	1.0	False
MRSS_00091	0	NaN	363	WP_011410488.1	120.0	120.0	1.0	False
MRSS_00092	0	NaN	948	WP_011411824.1	315.0	315.0	1.0	False
MRSS_00093	0	NaN	180	WP_011410460.1	59.0	284.0	0.2077464788732394	True
MRSS_00094	0	NaN	345	WP_011410461.1	114.0	262.0	0.4351145038167939	True
MRSS_00095	0	NaN	318	WP_011410894.1	105.0	105.0	1.0	False
MRSS_00096	0	NaN	1779	WP_011410540.1	592.0	592.0	1.0	False
MRSS_00097	0	NaN	1776	WP_011410541.1	591.0	591.0	1.0	False
MRSS_00098	0	NaN	252	WP_041867359.1	83.0	125.0	0.664	True
MRSS_00099	0	NaN	162	WP_041867666.1	53.0	245.0	0.2163265306122449	True
MRSS_00100	0	NaN	945	WP_011410225.1	314.0	323.0	0.9721362229102168	False
MRSS_00101	0	NaN	1329	WP_041866639.1	442.0	429.0	1.0303030303030305	False
MRSS_00102	0	NaN	717	WP_041867090.1	238.0	242.0	0.9834710743801652	False
MRSS_00103	0	NaN	150	WP_243466239.1	49.0	71.0	0.6901408450704225	True
MRSS_00104	0	NaN	1104	WP_011412011.1	367.0	367.0	1.0	False
MRSS_00105	0	NaN	975	WP_011412010.1	324.0	324.0	1.0	False
MRSS_00106	0	NaN	1203	WP_011412009.1	400.0	400.0	1.0	False
MRSS_00107	0	NaN	906	WP_011412008.1	301.0	301.0	1.0	False
MRSS_00108	0	NaN	177	WP_011411541.1	58.0	127.0	0.4566929133858268	True
MRSS_00109	0	NaN	1128	WP_011411542.1	375.0	375.0	1.0	False
MRSS_00110	0	NaN	672	WP_011410094.1	223.0	223.0	1.0	False
MRSS_00111	0	NaN	582	WP_011410835.1	193.0	193.0	1.0	False
MRSS_00112	0	NaN	1290	WP_011410763.1	429.0	429.0	1.0	False
MRSS_00113	0	NaN	1041	WP_011410764.1	346.0	345.0	1.0028985507246375	False
MRSS_00114	0	NaN	741	WP_011410767.1	246.0	228.0	1.0789473684210529	False
MRSS_00115	0	NaN	2163	WP_011412149.1	720.0	720.0	1.0	False
MRSS_00116	0	NaN	951	WP_011412148.1	316.0	316.0	1.0	False
MRSS_00117	0	NaN	1128	WP_011412013.1	375.0	375.0	1.0	False
MRSS_00118	0	NaN	1122	WP_011412014.1	373.0	422.0	0.8838862559241706	False
MRSS_00119	0	NaN	777	WP_011412015.1	258.0	259.0	0.996138996138996	False
MRSS_00120	0	NaN	483	WP_011412016.1	160.0	160.0	1.0	False
MRSS_00121	0	NaN	177	WP_011411553.1	58.0	492.0	0.1178861788617886	True
MRSS_00122	0	NaN	468	WP_011411552.1	155.0	155.0	1.0	False
MRSS_00123	0	NaN	237	WP_011412019.1	78.0	78.0	1.0	False
MRSS_00124	0	NaN	168	WP_011412018.1	55.0	55.0	1.0	False
MRSS_00125	0	NaN	258	WP_011410227.1	85.0	85.0	1.0	False
MRSS_00126	0	NaN	312	WP_011410226.1	103.0	103.0	1.0	False
MRSS_00127	0	NaN	171	WP_083764749.1	56.0	44.0	1.2727272727272727	False
MRSS_00128	0	NaN	210	WP_005968829.1	69.0	69.0	1.0	False
MRSS_00129	0	NaN	726	WP_011411149.1	241.0	248.0	0.9717741935483872	False
MRSS_00130	0	NaN	726	WP_011410476.1	241.0	233.0	1.034334763948498	False
MRSS_00131	0	NaN	489	WP_011410018.1	162.0	150.0	1.08	False
MRSS_00132	0	NaN	465	WP_011410017.1	154.0	144.0	1.0694444444444444	False
MRSS_00133	0	NaN	1350	WP_011410016.1	449.0	449.0	1.0	False
MRSS_00134	0	NaN	408	WP_011411924.1	135.0	146.0	0.9246575342465754	False
MRSS_00135	0	NaN	786	WP_083764638.1	261.0	293.0	0.8907849829351536	False
MRSS_00136	0	NaN	756	WP_011411092.1	251.0	255.0	0.984313725490196	False
MRSS_00137	0	NaN	972	WP_243466014.1	323.0	295.0	1.0949152542372882	False
MRSS_00138	0	NaN	1326	WP_011411093.1	441.0	441.0	1.0	False
MRSS_00139	0	NaN	963	WP_011411094.1	320.0	320.0	1.0	False
MRSS_00140	0	NaN	132	WP_011410950.1	43.0	198.0	0.2171717171717171	True
MRSS_00141	0	NaN	123	WP_011410236.1	40.0	445.0	0.0898876404494382	True
MRSS_00142	0	NaN	159	WP_011410081.1	52.0	130.0	0.4	True
MRSS_00143	0	NaN	1014	WP_011410203.1	337.0	338.0	0.9970414201183432	False
MRSS_00144	0	NaN	1254	WP_011410202.1	417.0	414.0	1.0072463768115942	False
MRSS_00145	0	NaN	135	WP_011412142.1	44.0	268.0	0.1641791044776119	True
MRSS_00146	0	NaN	306	WP_011410200.1	101.0	101.0	1.0	False
MRSS_00147	0	NaN	942	WP_011410199.1	313.0	312.0	1.0032051282051282	False
MRSS_00148	0	NaN	2070	WP_011410198.1	689.0	701.0	0.9828815977175464	False
MRSS_00149	0	NaN	1461	WP_011411692.1	486.0	419.0	1.1599045346062054	False
MRSS_00150	0	NaN	468	WP_011410196.1	155.0	161.0	0.9627329192546584	False
MRSS_00151	0	NaN	1293	WP_011411933.1	430.0	432.0	0.9953703703703703	False
MRSS_00152	1	37.0	78	NaN	NaN	NaN	NaN	True
MRSS_00153	0	NaN	87	NaN	NaN	NaN	NaN	False
MRSS_00154	1	19.0	72	NaN	NaN	NaN	NaN	True
MRSS_00155	1	19.0	75	NaN	NaN	NaN	NaN	True
MRSS_00156	0	NaN	2283	WP_011411404.1	760.0	760.0	1.0	False
MRSS_00157	0	NaN	1131	WP_011411405.1	376.0	376.0	1.0	False
MRSS_00158	0	NaN	204	WP_041867078.1	67.0	67.0	1.0	False
MRSS_00159	0	NaN	207	WP_011410900.1	68.0	312.0	0.2179487179487179	True
MRSS_00160	0	NaN	2619	WP_011411402.1	872.0	886.0	0.984198645598194	False
MRSS_00161	0	NaN	711	WP_011410771.1	236.0	236.0	1.0	False
MRSS_00162	0	NaN	873	WP_011411965.1	290.0	290.0	1.0	False
MRSS_00163	0	NaN	126	WP_011411681.1	41.0	281.0	0.1459074733096085	True
MRSS_00164	0	NaN	87	NaN	NaN	NaN	NaN	False
MRSS_00165	0	NaN	1209	WP_011410774.1	402.0	453.0	0.8874172185430463	False
MRSS_00166	0	NaN	270	WP_011410900.1	89.0	312.0	0.2852564102564102	True
MRSS_00167	0	NaN	666	WP_011410818.1	221.0	221.0	1.0	False
MRSS_00168	0	NaN	141	WP_011411440.1	46.0	189.0	0.2433862433862433	True
MRSS_00169	0	NaN	807	WP_011411217.1	268.0	268.0	1.0	False
MRSS_00170	0	NaN	1191	WP_011411218.1	396.0	396.0	1.0	False
MRSS_00171	0	NaN	1359	WP_011411219.1	452.0	452.0	1.0	False
MRSS_00172	0	NaN	999	WP_011410291.1	332.0	274.0	1.2116788321167884	False
MRSS_00173	0	NaN	402	WP_011412110.1	133.0	193.0	0.689119170984456	True
MRSS_00174	0	NaN	513	WP_011411222.1	170.0	522.0	0.3256704980842911	True
MRSS_00175	0	NaN	660	WP_011411222.1	219.0	522.0	0.4195402298850574	True
MRSS_00176	0	NaN	78	NaN	NaN	NaN	NaN	False
MRSS_00177	0	NaN	75	NaN	NaN	NaN	NaN	False
MRSS_00178	0	NaN	87	NaN	NaN	NaN	NaN	False
MRSS_00179	0	NaN	78	NaN	NaN	NaN	NaN	False
MRSS_00180	0	NaN	327	WP_011412193.1	108.0	108.0	1.0	False
MRSS_00181	0	NaN	1260	WP_011412192.1	419.0	419.0	1.0	False
MRSS_00182	0	NaN	1071	WP_011412191.1	356.0	371.0	0.9595687331536388	False
MRSS_00183	0	NaN	99	WP_011412190.1	32.0	350.0	0.0914285714285714	True
MRSS_00184	0	NaN	1881	WP_041867655.1	626.0	618.0	1.0129449838187703	False
MRSS_00185	0	NaN	3657	WP_041867656.1	1218.0	1171.0	1.040136635354398	False
MRSS_00186	0	NaN	3408	WP_011411705.1	1135.0	1132.0	1.0026501766784452	False
MRSS_00187	0	NaN	1140	WP_011411792.1	379.0	379.0	1.0	False
MRSS_00188	0	NaN	966	WP_011411791.1	321.0	326.0	0.9846625766871164	False
MRSS_00189	0	NaN	1983	WP_011411790.1	660.0	660.0	1.0	False
MRSS_00190	0	NaN	177	WP_011411789.1	58.0	297.0	0.1952861952861952	True
MRSS_00191	0	NaN	762	WP_011411789.1	253.0	297.0	0.8518518518518519	False
MRSS_00192	0	NaN	1656	WP_011411788.1	551.0	550.0	1.0018181818181815	False
MRSS_00193	0	NaN	612	WP_158302420.1	203.0	141.0	1.4397163120567376	False
MRSS_00194	0	NaN	180	WP_011410906.1	59.0	846.0	0.0697399527186761	True
MRSS_00195	0	NaN	1101	WP_011410911.1	366.0	356.0	1.0280898876404494	False
MRSS_00196	0	NaN	2583	WP_011410666.1	860.0	860.0	1.0	False
MRSS_00197	0	NaN	576	WP_011410665.1	191.0	192.0	0.9947916666666666	False
MRSS_00198	0	NaN	1032	WP_011410664.1	343.0	343.0	1.0	False
MRSS_00199	0	NaN	474	WP_041866741.1	157.0	217.0	0.7235023041474654	True
MRSS_00200	0	NaN	90	NaN	NaN	NaN	NaN	False
MRSS_00201	0	NaN	1431	WP_011410705.1	476.0	481.0	0.9896049896049895	False
MRSS_00202	0	NaN	1854	WP_011411178.1	617.0	616.0	1.0016233766233766	False
MRSS_00203	0	NaN	210	WP_424141164.1	69.0	122.0	0.5655737704918032	True
MRSS_00204	0	NaN	1479	WP_158302299.1	492.0	602.0	0.8172757475083057	False
MRSS_00205	0	NaN	390	WP_011410952.1	129.0	259.0	0.4980694980694981	True
MRSS_00206	0	NaN	891	WP_011410526.1	296.0	296.0	1.0	False
MRSS_00207	0	NaN	333	WP_011410527.1	110.0	110.0	1.0	False
MRSS_00208	0	NaN	516	WP_011410528.1	171.0	204.0	0.8382352941176471	False
MRSS_00209	0	NaN	1995	WP_011410529.1	664.0	664.0	1.0	False
MRSS_00210	0	NaN	936	WP_011410530.1	311.0	309.0	1.006472491909385	False
MRSS_00211	0	NaN	219	WP_011410455.1	72.0	180.0	0.4	True
MRSS_00212	1	34.0	78	NaN	NaN	NaN	NaN	True
MRSS_00213	0	NaN	633	WP_011411259.1	210.0	205.0	1.024390243902439	False
MRSS_00214	0	NaN	477	WP_011410231.1	158.0	158.0	1.0	False
MRSS_00215	0	NaN	1452	WP_011409985.1	483.0	483.0	1.0	False
MRSS_00216	0	NaN	312	WP_011410137.1	103.0	103.0	1.0	False
MRSS_00217	0	NaN	1896	WP_011410134.1	631.0	631.0	1.0	False
MRSS_00218	0	NaN	105	WP_158302360.1	34.0	196.0	0.173469387755102	True
MRSS_00219	0	NaN	213	WP_243466300.1	70.0	958.0	0.0730688935281837	True
MRSS_00220	0	NaN	168	WP_011410046.1	55.0	442.0	0.1244343891402715	True
MRSS_00221	0	NaN	135	WP_011409983.1	44.0	442.0	0.0995475113122171	True
MRSS_00222	0	NaN	1260	WP_011411718.1	419.0	419.0	1.0	False
MRSS_00223	0	NaN	456	WP_011411708.1	151.0	290.0	0.5206896551724138	True
MRSS_00224	0	NaN	648	WP_011410731.1	215.0	250.0	0.86	False
MRSS_00225	0	NaN	174	WP_011411592.1	57.0	431.0	0.1322505800464037	True
MRSS_00226	0	NaN	480	WP_011412116.1	159.0	361.0	0.4404432132963989	True
MRSS_00227	0	NaN	288	WP_011412116.1	95.0	361.0	0.2631578947368421	True
MRSS_00228	0	NaN	519	WP_011412117.1	172.0	173.0	0.9942196531791908	False
MRSS_00229	0	NaN	519	WP_011412057.1	172.0	171.0	1.0058479532163742	False
MRSS_00230	0	NaN	951	WP_011412058.1	316.0	316.0	1.0	False
MRSS_00231	0	NaN	1293	WP_011412059.1	430.0	433.0	0.9930715935334872	False
MRSS_00232	0	NaN	1386	WP_011412060.1	461.0	458.0	1.0065502183406114	False
MRSS_00233	0	NaN	333	WP_011412053.1	110.0	272.0	0.4044117647058823	True
MRSS_00234	0	NaN	372	WP_011412056.1	123.0	157.0	0.7834394904458599	False
MRSS_00235	0	NaN	1542	WP_011411076.1	513.0	513.0	1.0	False
MRSS_00236	0	NaN	432	WP_011411958.1	143.0	549.0	0.2604735883424408	True
MRSS_00237	0	NaN	174	WP_011412052.1	57.0	85.0	0.6705882352941176	True
MRSS_00238	0	NaN	186	WP_011412053.1	61.0	272.0	0.2242647058823529	True
MRSS_00239	0	NaN	570	WP_011412054.1	189.0	190.0	0.9947368421052633	False
MRSS_00240	0	NaN	1191	WP_011411985.1	396.0	388.0	1.0206185567010309	False
MRSS_00241	0	NaN	747	WP_011411986.1	248.0	248.0	1.0	False
MRSS_00242	0	NaN	774	WP_011411988.1	257.0	255.0	1.007843137254902	False
MRSS_00243	0	NaN	759	WP_011411460.1	252.0	252.0	1.0	False
MRSS_00244	0	NaN	720	WP_011409972.1	239.0	255.0	0.9372549019607844	False
MRSS_00245	0	NaN	573	WP_041866604.1	190.0	140.0	1.3571428571428572	False
MRSS_00246	0	NaN	798	WP_011410927.1	265.0	264.0	1.003787878787879	False
MRSS_00247	0	NaN	993	WP_011410926.1	330.0	332.0	0.993975903614458	False
MRSS_00248	0	NaN	642	WP_011410925.1	213.0	213.0	1.0	False
MRSS_00249	0	NaN	1026	WP_011410924.1	341.0	341.0	1.0	False
MRSS_00250	0	NaN	192	WP_011410923.1	63.0	265.0	0.2377358490566037	True
MRSS_00251	0	NaN	243	WP_011410293.1	80.0	968.0	0.0826446280991735	True
MRSS_00252	0	NaN	171	WP_011410916.1	56.0	56.0	1.0	False
MRSS_00253	0	NaN	213	WP_011410917.1	70.0	344.0	0.2034883720930232	True
MRSS_00254	0	NaN	954	WP_011410918.1	317.0	317.0	1.0	False
MRSS_00255	0	NaN	948	WP_011410919.1	315.0	309.0	1.019417475728155	False
MRSS_00256	0	NaN	735	WP_011410920.1	244.0	244.0	1.0	False
MRSS_00257	0	NaN	237	WP_011410921.1	78.0	78.0	1.0	False
MRSS_00258	0	NaN	954	WP_011411970.1	317.0	305.0	1.039344262295082	False
MRSS_00259	0	NaN	351	WP_011411260.1	116.0	115.0	1.008695652173913	False
MRSS_00260	0	NaN	687	WP_011411261.1	228.0	234.0	0.9743589743589745	False
MRSS_00261	0	NaN	132	WP_011410389.1	43.0	223.0	0.1928251121076233	True
MRSS_00262	0	NaN	393	WP_011410900.1	130.0	312.0	0.4166666666666667	True
MRSS_00263	0	NaN	495	WP_011411263.1	164.0	144.0	1.1388888888888888	False
MRSS_00264	0	NaN	1071	WP_011411919.1	356.0	356.0	1.0	False
MRSS_00265	0	NaN	1107	WP_011411920.1	368.0	366.0	1.005464480874317	False
MRSS_00266	0	NaN	1425	WP_011411921.1	474.0	503.0	0.9423459244532804	False
MRSS_00267	0	NaN	402	WP_011411922.1	133.0	149.0	0.8926174496644296	False
MRSS_00268	0	NaN	2874	WP_011411923.1	957.0	951.0	1.0063091482649842	False
MRSS_00269	0	NaN	90	WP_011410684.1	29.0	498.0	0.0582329317269076	True
MRSS_00270	0	NaN	1299	WP_011410205.1	432.0	432.0	1.0	False
MRSS_00271	0	NaN	2301	WP_011410206.1	766.0	764.0	1.0026178010471205	False
MRSS_00272	0	NaN	747	WP_011410207.1	248.0	245.0	1.0122448979591836	False
MRSS_00273	0	NaN	2025	WP_011409938.1	674.0	674.0	1.0	False
MRSS_00274	0	NaN	783	WP_424141131.1	260.0	41.0	6.341463414634147	False
MRSS_00275	0	NaN	183	WP_011411943.1	60.0	398.0	0.1507537688442211	True
MRSS_00276	0	NaN	966	WP_011410655.1	321.0	321.0	1.0	False
MRSS_00277	0	NaN	132	WP_243466162.1	43.0	69.0	0.6231884057971014	True
MRSS_00278	0	NaN	990	WP_011410099.1	329.0	321.0	1.0249221183800623	False
MRSS_00279	1	46.0	75	NaN	NaN	NaN	NaN	True
MRSS_00280	0	NaN	204	WP_011410839.1	67.0	378.0	0.1772486772486772	True
MRSS_00281	0	NaN	1212	WP_011410658.1	403.0	403.0	1.0	False
MRSS_00282	0	NaN	264	WP_011410657.1	87.0	87.0	1.0	False
MRSS_00283	0	NaN	660	WP_424141157.1	219.0	198.0	1.106060606060606	False
MRSS_00284	0	NaN	585	WP_011410348.1	194.0	194.0	1.0	False
MRSS_00285	0	NaN	1203	WP_011411434.1	400.0	400.0	1.0	False
MRSS_00286	0	NaN	2172	WP_011411435.1	723.0	714.0	1.012605042016807	False
MRSS_00287	0	NaN	4221	WP_011409999.1	1406.0	1406.0	1.0	False
MRSS_00288	0	NaN	4029	WP_011409998.1	1342.0	1342.0	1.0	False
MRSS_00289	0	NaN	369	WP_011409997.1	122.0	122.0	1.0	False
MRSS_00290	0	NaN	498	WP_011409996.1	165.0	165.0	1.0	False
MRSS_00291	0	NaN	705	WP_011409995.1	234.0	234.0	1.0	False
MRSS_00292	0	NaN	429	WP_011409994.1	142.0	142.0	1.0	False
MRSS_00293	0	NaN	546	WP_009639145.1	181.0	181.0	1.0	False
MRSS_00294	0	NaN	384	WP_011409993.1	127.0	127.0	1.0	False
MRSS_00295	0	NaN	1185	WP_011409992.1	394.0	394.0	1.0	False
MRSS_00296	1	4.0	78	NaN	NaN	NaN	NaN	True
MRSS_00297	1	13.0	75	NaN	NaN	NaN	NaN	True
MRSS_00298	1	37.0	84	NaN	NaN	NaN	NaN	True
MRSS_00299	1	13.0	78	NaN	NaN	NaN	NaN	True
MRSS_00300	0	NaN	1077	WP_011409991.1	358.0	316.0	1.1329113924050631	False
MRSS_00301	0	NaN	1377	WP_011411619.1	458.0	447.0	1.0246085011185682	False
MRSS_00302	0	NaN	231	WP_011410661.1	76.0	156.0	0.4871794871794871	True
MRSS_00303	0	NaN	1905	WP_011410660.1	634.0	634.0	1.0	False
MRSS_00304	0	NaN	1113	WP_011410659.1	370.0	370.0	1.0	False
MRSS_00305	0	NaN	603	WP_011410743.1	200.0	203.0	0.9852216748768472	False
MRSS_00306	1	37.0	78	NaN	NaN	NaN	NaN	True
MRSS_00307	1	46.0	1539	NaN	NaN	NaN	NaN	True
MRSS_00308	0	NaN	198	WP_243466102.1	65.0	205.0	0.3170731707317073	True
MRSS_00309	1	10.0	3000	NaN	NaN	NaN	NaN	True
MRSS_00310	0	NaN	111	NaN	NaN	NaN	NaN	False
MRSS_00311	0	NaN	78	NaN	NaN	NaN	NaN	False
MRSS_00312	0	NaN	1719	WP_011411651.1	572.0	574.0	0.9965156794425089	False
MRSS_00313	0	NaN	1116	WP_011410229.1	371.0	385.0	0.9636363636363636	False
MRSS_00314	0	NaN	1389	WP_011411307.1	462.0	462.0	1.0	False
MRSS_00315	0	NaN	1533	WP_011411308.1	510.0	510.0	1.0	False
MRSS_00316	0	NaN	585	WP_011411403.1	194.0	249.0	0.7791164658634538	False
MRSS_00317	0	NaN	1557	WP_011410671.1	518.0	292.0	1.773972602739726	False
MRSS_00318	0	NaN	963	WP_011411155.1	320.0	323.0	0.9907120743034056	False
MRSS_00319	0	NaN	801	WP_011411154.1	266.0	266.0	1.0	False
MRSS_00320	0	NaN	849	WP_041866928.1	282.0	282.0	1.0	False
MRSS_00321	0	NaN	2274	WP_011410737.1	757.0	757.0	1.0	False
MRSS_00322	0	NaN	1077	WP_011411744.1	358.0	358.0	1.0	False
MRSS_00323	0	NaN	1176	WP_011411745.1	391.0	387.0	1.0103359173126616	False
MRSS_00324	0	NaN	642	WP_011412045.1	213.0	211.0	1.009478672985782	False
MRSS_00325	0	NaN	330	WP_011410073.1	109.0	102.0	1.068627450980392	False
MRSS_00326	0	NaN	639	WP_011410072.1	212.0	211.0	1.004739336492891	False
MRSS_00327	0	NaN	447	WP_011410071.1	148.0	175.0	0.8457142857142858	False
MRSS_00328	0	NaN	783	WP_011410070.1	260.0	260.0	1.0	False
MRSS_00329	0	NaN	810	WP_011410069.1	269.0	269.0	1.0	False
MRSS_00330	0	NaN	2571	WP_011410504.1	856.0	854.0	1.0023419203747073	False
MRSS_00331	0	NaN	237	WP_011410900.1	78.0	312.0	0.25	True
MRSS_00332	0	NaN	78	NaN	NaN	NaN	NaN	False
MRSS_00333	0	NaN	1647	WP_011410169.1	548.0	548.0	1.0	False
MRSS_00334	0	NaN	294	WP_011410168.1	97.0	97.0	1.0	False
